scope,start_n,length,total_windows,alphabet_1_2_windows,critical_sturmian_windows,sturmian_complexity,max_critical_alphabet_run,max_critical_grammar_run,first_break_type
NAMED_27,27,8,34,13,0,9,17,6,CRITICAL_FORBIDDEN_GRAMMAR
NAMED_27,27,16,26,2,0,17,17,6,CRITICAL_FORBIDDEN_GRAMMAR
NAMED_27,27,32,10,0,0,33,17,6,CRITICAL_FORBIDDEN_GRAMMAR
NAMED_27,27,64,0,0,0,65,17,6,CRITICAL_FORBIDDEN_GRAMMAR
NAMED_97,97,8,36,10,0,9,14,6,CRITICAL_FORBIDDEN_GRAMMAR
NAMED_97,97,16,28,0,0,17,14,6,CRITICAL_FORBIDDEN_GRAMMAR
NAMED_97,97,32,12,0,0,33,14,6,CRITICAL_FORBIDDEN_GRAMMAR
NAMED_97,97,64,0,0,0,65,14,6,CRITICAL_FORBIDDEN_GRAMMAR
NAMED_871,871,8,58,13,0,9,15,5,CRITICAL_FORBIDDEN_GRAMMAR
NAMED_871,871,16,50,0,0,17,15,5,CRITICAL_FORBIDDEN_GRAMMAR
NAMED_871,871,32,34,0,0,33,15,5,CRITICAL_FORBIDDEN_GRAMMAR
NAMED_871,871,64,2,0,0,65,15,5,CRITICAL_FORBIDDEN_GRAMMAR
NAMED_6171,6171,8,89,24,2,9,18,9,CRITICAL_FORBIDDEN_GRAMMAR
NAMED_6171,6171,16,81,3,0,17,18,9,CRITICAL_FORBIDDEN_GRAMMAR
NAMED_6171,6171,32,65,0,0,33,18,9,CRITICAL_FORBIDDEN_GRAMMAR
NAMED_6171,6171,64,33,0,0,65,18,9,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,683943,8,69,15,7,9,16,14,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,683943,16,61,1,0,17,16,14,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,683943,32,45,0,0,33,16,14,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,683943,64,13,0,0,65,16,14,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,978991,8,61,20,6,9,15,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,978991,16,53,0,0,17,15,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,978991,32,37,0,0,33,15,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,978991,64,5,0,0,65,15,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,954963,8,68,21,6,9,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,954963,16,60,10,0,17,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,954963,32,44,0,0,33,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,954963,64,12,0,0,65,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,954961,8,68,21,6,9,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,954961,16,60,10,0,17,25,13,DEEP_FOLD
